mon,안마기,어깨안마기,마사지기,미세먼지마스크,차량용공기청정기,목안마기,스타벅스텀블러,다우니어도러블,차량용핸드폰거치대,전자담배,차량용방향제,cctv,졸업식꽃다발,황사마스크kf94,자동차공기청정기,미세먼지마스크kf99,마스크,강아지사료,텀블러,빨래건조대,차량용무선충전거치대,차량용무선충전기,식기건조대,치아미백,코지마안마의자,아이스박스,차량용햇빛가리개,차량용선풍기,예초기,할로윈의상,보온도시락,크리스마스트리,2019다이어리,다이어리
1,4114,3586,3538,3367,3251,223,210,193,157,150,3600,1286,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5463,4477,5208,0,1587,3660,1723,0,1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,3473,3587,0,618,0,443,430,0,0,0,3223,3220,3212,483,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1577,5272,0,3386,0,2136,3314,0,3251,0,0,3830,0,0,2117,2131,1621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,4425,0,4160,0,3949,3925,0,1380,0,0,0,0,0,1448,1754,1475,3772,1684,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,1791,0,4135,0,4253,4348,0,0,0,0,0,0,0,0,1463,4025,0,0,3906,1898,1678,1555,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,4733,0,4677,4547,0,0,0,0,0,0,0,0,1293,4493,0,0,1556,0,1036,4805,1220,1082,0,0,0,0,0,0
8,1218,0,0,0,0,0,5354,0,4566,4291,1267,0,0,0,0,0,0,0,4537,1865,0,0,4238,0,1191,1687,0,0,0,0,0,0,0,0
9,830,0,0,0,0,0,5044,0,4634,4413,0,0,0,0,0,0,0,0,4244,1401,4257,0,1437,0,962,0,0,0,1226,0,0,0,0,0
10,0,0,0,0,2084,0,5194,0,4861,4766,0,0,0,0,0,0,0,0,4605,2371,2056,0,2242,0,0,0,0,0,0,4660,1914,0,0,0
11,0,0,0,3563,3362,0,3376,0,2206,3274,0,0,0,0,0,0,0,0,2090,1951,0,0,0,0,0,0,0,0,0,0,0,3504,2212,2147
12,4738,3732,0,0,1440,0,3244,0,1292,1219,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,3328,1531,3234
