mon,남성구스다운,풋살화,디스커버리패딩,등산화,k2패딩,모노키니,남자경량패딩,비키니,아이더패딩,축구화,숀리스쿼트머신,전동킥보드,디스커버리백팩,여자실내수영복,자전거,전기자전거,디스커버리바람막이,노스페이스바람막이,원터치텐트,디스커버리반팔티,캠핑의자,아이더아이스폴로티,래쉬가드,여성래쉬가드,수영복,텐트,디스커버리래쉬가드,구명조끼,튜브,스위브래쉬가드,노스페이스롱패딩,롱패딩,디스커버리맨투맨,여성골프웨어,아이더롱패딩,디스커버리롱패딩,노스페이스후리스,블랙야크롱패딩,노스페이스패딩,발열조끼
1,4036,3975,3889,3859,1396,1341,1336,1283,1279,4526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4692,0,4600,0,4368,4457,1713,0,0,1562,1538,1532,1477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,5280,0,4584,0,2127,0,2043,0,5106,0,4769,0,0,4528,2099,1959,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,5240,0,1622,0,4566,0,1594,0,5107,0,4970,0,1236,4663,1693,0,0,1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,4639,0,0,0,4458,0,0,0,1005,0,4739,0,0,1050,971,0,0,4641,4484,1047,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,1731,0,0,0,4747,0,5156,0,1581,0,4838,0,0,0,0,0,0,4795,0,0,0,4801,2164,1786,1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,4578,0,4748,0,0,0,0,0,0,0,0,0,0,1428,0,0,0,5004,5074,1529,0,4426,1650,1645,1350,0,0,0,0,0,0,0,0,0,0
8,0,1122,0,0,0,4844,0,4646,0,0,0,4226,0,1317,0,0,0,0,0,0,0,0,4573,4531,1527,0,0,1444,1438,0,0,0,0,0,0,0,0,0,0,0
9,0,4843,0,4720,991,0,0,0,0,5034,0,4567,0,0,1829,1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4667,1857,1725,1618,0,0,0,0,0,0
10,0,0,3743,1272,0,0,4192,0,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4268,1183,0,0,3805,3782,1011,0,0,0
11,1472,0,4139,0,1568,0,4160,0,1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4555,0,0,0,4292,4409,0,1276,1225,0
12,4018,0,4011,0,1458,0,0,0,1557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4214,0,0,0,4201,4519,0,1379,0,1214
